date,open,high,low,close,volume
12/13/2013,20.102,20.103,19.774,19.801,332821132
12/16/2013,19.822,20.094,19.822,19.911,282593808
12/17/2013,19.85,19.98,19.763,19.821,229902596
12/18/2013,19.632,19.695,19.243,19.67,565863228
12/19/2013,19.625,19.643,19.419,19.445,320957476
12/20/2013,19.48,19.7,19.458,19.608,436413740
12/23/2013,20.286,20.383,20.099,20.36,501307324
12/24/2013,20.353,20.424,20.215,20.274,167554940
12/26/2013,20.289,20.339,20.121,20.139,204008140
12/27/2013,20.136,20.158,19.982,20.003,225885268
12/30/2013,19.909,20.003,19.726,19.804,253630888
12/31/2013,19.792,20.046,19.786,20.036,223277488
1/2/2014,19.846,19.894,19.715,19.755,235167828
1/3/2014,19.745,19.775,19.301,19.321,393215480
1/6/2014,19.195,19.529,19.057,19.426,413436604
1/7/2014,19.44,19.499,19.212,19.287,317731064
1/8/2014,19.243,19.484,19.239,19.409,258746740
1/9/2014,19.529,19.531,19.12,19.161,279620796
1/10/2014,19.28,19.314,18.968,19.034,305282656
1/13/2014,18.925,19.375,18.924,19.133,379443372
1/14/2014,19.222,19.526,19.202,19.514,334937484
1/15/2014,19.769,20.007,19.702,19.906,393890476
1/16/2014,19.818,19.888,19.703,19.795,229885320
1/17/2014,19.696,19.717,19.282,19.31,433706756
1/21/2014,19.321,19.645,19.301,19.61,329022176
1/22/2014,19.676,19.903,19.565,19.697,380877336
1/23/2014,19.641,19.875,19.457,19.864,403913384
1/24/2014,19.786,19.844,19.455,19.503,433537748
1/27/2014,19.645,19.814,19.491,19.661,576876608
1/28/2014,18.17,18.393,17.931,18.089,1067334324
1/29/2014,17.998,18.12,17.808,17.884,503771184
1/30/2014,17.948,18.089,17.739,17.849,679051156
1/31/2014,17.685,17.912,17.627,17.879,465345776
2/3/2014,17.95,18.133,17.832,17.912,402483088
2/4/2014,18.066,18.195,17.956,18.171,377094172
2/5/2014,18.091,18.403,18.08,18.307,329288624
2/6/2014,18.216,18.339,18.136,18.304,257988892
2/7/2014,18.621,18.676,18.478,18.56,374554404
2/10/2014,18.524,19,18.5,18.893,345804088
2/11/2014,18.95,19.205,18.911,19.141,282689008
2/12/2014,19.177,19.27,19.044,19.14,308508256
2/13/2014,19.095,19.459,19.079,19.444,307840624
2/14/2014,19.374,19.499,19.329,19.428,273872144
2/18/2014,19.5,19.685,19.486,19.5,261224992
2/19/2014,19.455,19.532,19.084,19.192,314217680
2/20/2014,19.035,19.179,18.893,18.97,306116412
2/21/2014,19.028,19.092,18.736,18.759,279028988
2/24/2014,18.684,18.926,18.658,18.841,289459800
2/25/2014,18.906,18.913,18.607,18.645,232989400
2/26/2014,18.7,18.75,18.414,18.477,276525144
2/27/2014,18.469,18.885,18.43,18.845,302229284
2/28/2014,18.896,19.027,18.647,18.794,372298612
3/3/2014,18.694,18.952,18.672,18.849,239137976
3/4/2014,18.964,19.023,18.849,18.973,259539336
3/5/2014,18.961,19.098,18.898,19.013,200262076
3/6/2014,19.028,19.087,18.861,18.955,185692444
3/7/2014,18.968,18.999,18.787,18.944,221660964
3/10/2014,18.87,19.048,18.869,18.961,178765720
3/11/2014,19.123,19.241,19.021,19.146,280795396
3/12/2014,19.09,19.191,19,19.165,200781840
3/13/2014,19.194,19.274,18.899,18.952,257742436
3/14/2014,18.885,18.96,18.679,18.739,237197968
3/17/2014,18.846,18.928,18.78,18.812,199544296
3/18/2014,18.782,18.999,18.757,18.979,209647452
3/19/2014,19.009,19.151,18.893,18.974,224755832
3/20/2014,18.925,19.024,18.834,18.882,208398148
3/21/2014,18.998,19.063,18.798,19.031,374448676
3/24/2014,19.229,19.304,19.109,19.257,355699484
3/25/2014,19.339,19.491,19.271,19.464,282293424
3/26/2014,19.519,19.607,19.245,19.278,299768896
3/27/2014,19.286,19.339,19.111,19.195,222030704
3/28/2014,19.226,19.248,19.08,19.174,200564252
3/31/2014,19.258,19.315,19.14,19.169,168668752
4/1/2014,19.206,19.353,19.17,19.345,200758740
4/2/2014,19.371,19.41,19.295,19.377,180419484
4/3/2014,19.335,19.375,19.201,19.243,162592444
4/4/2014,19.279,19.286,18.949,18.994,275249940
4/7/2014,18.858,18.961,18.639,18.695,289850120
4/8/2014,18.757,18.79,18.525,18.694,243887532
4/9/2014,18.666,18.946,18.644,18.94,206170888
4/10/2014,18.953,19.009,18.685,18.696,239651272
4/11/2014,18.536,18.673,18.469,18.558,271900048
4/14/2014,18.639,18.649,18.472,18.631,205780708
4/15/2014,18.581,18.63,18.262,18.499,266490308
4/16/2014,18.502,18.61,18.362,18.536,214931976
4/17/2014,18.571,18.849,18.543,18.748,284426884
4/21/2014,18.762,19.005,18.713,18.97,182675724
4/22/2014,18.868,18.994,18.804,18.989,202657812
4/23/2014,18.895,18.969,18.73,18.741,394941036
4/24/2014,20.293,20.357,20.026,20.278,759912328
4/25/2014,20.162,20.428,20.141,20.426,390275256
4/28/2014,20.457,21.277,20.448,21.218,669486720
4/29/2014,21.205,21.285,21.054,21.155,337378692
4/30/2014,21.166,21.408,21.064,21.075,456883532
5/1/2014,21.143,21.243,20.941,21.124,244209672
5/2/2014,21.155,21.221,21.061,21.164,191514288
5/5/2014,21.076,21.464,21.071,21.463,287067032
5/6/2014,21.493,21.586,21.229,21.229,374565492
5/7/2014,21.259,21.332,20.99,21.155,282863952
5/8/2014,21.009,21.229,20.943,21,230297452
5/9/2014,20.876,20.938,20.726,20.912,291597992
5/12/2014,20.982,21.202,20.979,21.173,213298708
5/13/2014,21.143,21.234,21.096,21.206,159738376
5/14/2014,21.158,21.336,21.134,21.21,166403384
5/15/2014,21.239,21.307,21.001,21.029,230846924
5/16/2014,21.023,21.34,20.907,21.34,276367336
5/19/2014,21.352,21.69,21.333,21.593,317756096
5/20/2014,21.59,21.657,21.455,21.597,234835944
5/21/2014,21.565,21.668,21.502,21.654,196999656
5/22/2014,21.664,21.78,21.575,21.688,200875780
5/23/2014,21.688,21.955,21.66,21.933,232209964
5/27/2014,21.996,22.352,21.987,22.344,348866420
5/28/2014,22.358,22.494,22.278,22.286,315687540
